,Answer,Comment 1,Comment 2,Comment 3,Link,Question,Time,UpVotes
30,"
Python 2.7.9+ and 3.4+
Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go—almost every other contemporary language with a majority open-source community. Thank you, Python.
If you do find that pip is not available when using Python 3.4+ or Python 2.7.9+, simply execute e.g.:
py -3 -m ensurepip

Of course, that doesn't mean Python packaging is problem solved. The experience remains frustrating. I discuss this in the Stack Overflow question Does Python have a package/module management system?.
And, alas for everyone using Python 2.7.8 or earlier (a sizable portion of the community). There's no plan to ship Pip to you. Manual instructions follow.
Python 2 ≤ 2.7.8 and Python 3 ≤ 3.3
Flying in the face of its 'batteries included' motto, Python ships without a package manager. To make matters worse, Pip was—until recently—ironically difficult to install.
Official instructions
Per https://pip.pypa.io/en/stable/installing/#do-i-need-to-install-pip:
Download get-pip.py, being careful to save it as a .py file rather than .txt. Then, run it from the command prompt:
python get-pip.py

You possibly need an administrator command prompt to do this. Follow Start a Command Prompt as an Administrator (Microsoft TechNet).
This installs the pip package, which (in Windows) contains ...\Scripts\pip.exe that path must be in PATH environment variable to use pip from the command line (see the second part of 'Alternative Instructions' for adding it to your PATH,
Alternative instructions
The official documentation tells users to install Pip and each of its dependencies from source. That's tedious for the experienced and prohibitively difficult for newbies.
For our sake, Christoph Gohlke prepares Windows installers (.msi) for popular Python packages. He builds installers for all Python versions, both 32 and 64 bit. You need to:

Install setuptools
Install pip

For me, this installed Pip at C:\Python27\Scripts\pip.exe. Find pip.exe on your computer, then add its folder (for example, C:\Python27\Scripts) to your path (Start / Edit environment variables). Now you should be able to run pip from the command line. Try installing a package:
pip install httpie

There you go (hopefully)! Solutions for common problems are given below:
Proxy problems
If you work in an office, you might be behind an HTTP proxy. If so, set the environment variables http_proxy and https_proxy. Most Python applications (and other free software) respect these. Example syntax:
http://proxy_url:port
http://username:password@proxy_url:port

If you're really unlucky, your proxy might be a Microsoft NTLM proxy. Free software can't cope. The only solution is to install a free software friendly proxy that forwards to the nasty proxy. http://cntlm.sourceforge.net/
Unable to find vcvarsall.bat
Python modules can be partly written in C or C++. Pip tries to compile from source. If you don't have a C/C++ compiler installed and configured, you'll see this cryptic error message.

Error: Unable to find vcvarsall.bat

You can fix that by installing a C++ compiler such as MinGW or Visual C++. Microsoft actually ships one specifically for use with Python. Or try Microsoft Visual C++ Compiler for Python 2.7.
Often though it's easier to check Christoph's site for your package.
","
@MikeMcMahon that happened to me too. Put Python before Perl in your path, so typing pip gets you the Python package manager.
                
                    – Colonel Panic
Jun 27 '13 at 22:00



","
I didn't have to do any of this, I just followed the instructions on pip-installer.org/en/latest/installing.html (basically you just write ""python ez_setup.py"" and then ""python get-pip.py"")
                
                    – CaptainCodeman
Nov 10 '13 at 19:50
","
This is probably a dumb question. I entered python get-pip.py on a windows prompt but get ""python is not recognized as an internal or external command, operable program or batch file."" Am I doing something wrong? I have Python 2.7.8 installed. Do I need to change the directory? Thanks.
                
                    – Andrew
Jul 14 '15 at 16:39
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Oct 3 '19,1811
31,"
-- Outdated -- use distribute, not setuptools as described here. --
-- Outdated #2 -- use setuptools as distribute is deprecated.
As you mentioned pip doesn't include an independent installer, but you can install it with its predecessor easy_install.
So:

Download the last pip version from here: http://pypi.python.org/pypi/pip#downloads
Uncompress it
Download the last easy installer for Windows: (download the .exe at the bottom of http://pypi.python.org/pypi/setuptools ). Install it.
copy the uncompressed pip folder content into C:\Python2x\ folder (don't copy the whole folder into it, just the content), because python command doesn't work outside C:\Python2x folder and then run:  python setup.py install
Add your python C:\Python2x\Scripts to the path

You are done. 
Now you can use pip install package to easily install packages as in Linux :)
","
When run the command ""python setup.py install"", if you got ""error: pip.egg-info\PKG-INFO: Permission denied"", then try to remove the read only attribute on the uncompressed pip directory.
                
                    – Yoo Matsuo
May 5 '11 at 4:04
","
If you install a 64-bit version of python, setuptools will not detect your python executable. I found some binaries here that will, though (unofficial): lfd.uci.edu/~gohlke/pythonlibs
                
                    – Chris
Jun 27 '11 at 17:18
","
Once I've installed pip using easy_install can I remove setuptools by pip uninstall setuptools? Is this okay or would it lead to issues later on?
                
                    – Mridang Agarwalla
Aug 20 '11 at 7:40
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 4 '14,300
32,"
2014 UPDATE:
1) If you have installed Python 3.4 or later, pip is included with Python and should already be working on your system.
2) If you are running a version below Python 3.4 or if pip was not installed with Python 3.4 for some reason, then you'd probably use pip's official installation script get-pip.py. The pip installer now grabs setuptools for you, and works regardless of architecture (32-bit or 64-bit).
The installation instructions are detailed here and involve:

To install or upgrade pip, securely download get-pip.py.
Then run the following (which may require administrator access):

python get-pip.py


To upgrade an existing setuptools (or distribute), run pip install -U setuptools

I'll leave the two sets of old instructions below for posterity.
OLD Answers:
For Windows editions of the 64 bit variety - 64-bit Windows + Python used to require a separate installation method due to ez_setup, but I've tested the new distribute method on 64-bit Windows running 32-bit Python and 64-bit Python, and you can now use the same method for all versions of Windows/Python 2.7X:
OLD Method 2 using distribute:

Download distribute - I threw mine in C:\Python27\Scripts (feel free to create a Scripts directory if it doesn't exist.
Open up a command prompt (on Windows you should check out conemu2 if you don't use PowerShell) and change (cd) to the directory you've downloaded distribute_setup.py to.
Run distribute_setup: python distribute_setup.py (This will not work if your python installation directory is not added to your path - go here for help)
Change the current directory to the Scripts directory for your Python installation (C:\Python27\Scripts) or add that directory, as well as the Python base installation directory to your %PATH% environment variable.
Install pip using the newly installed setuptools: easy_install pip

The last step will not work unless you're either in the directory easy_install.exe is located in (C:\Python27\Scripts would be the default for Python 2.7), or you have that directory added to your path.
OLD Method 1 using ez_setup:
from the setuptools page --

Download ez_setup.py and run it; it will download the appropriate .egg file and install it for you. (Currently, the provided .exe installer does not support 64-bit versions of Python for Windows, due to a distutils installer compatibility issue.

After this, you may continue with:

Add c:\Python2x\Scripts to the Windows path (replace the x in Python2x with the actual version number you have installed)
Open a new (!) DOS prompt. From there run easy_install pip

","
So the install is easyinstall, then pip,  then virtualenv, then virtualenvwrapper , then configure independents environments. with script modif in the middle for dealing with proxies... aaarrrgg
                
                    – nicolas
Aug 27 '12 at 9:54



","
@nicolas Yeah, easyinstall is just an outdated interface to setuptools. Pip is awesome, and virtualenv offers the kind of control that you don't get in many other languages without WAY more hackish tactics; perl being the only comparable exception. Ruby has gemsets, but in order to easily swap out Rubies, it's recommended to use either rbenv or rvm - both of which have always felt somewhat hackish to me (though they work beautifully once set up properly).
                
                    – AndrewPK
Oct 16 '12 at 19:30
","
This exact procedure is automated by pip for windows.
                
                    – user474491
Dec 24 '12 at 21:40
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,May 23 '17,218
33,"
2016+ Update: 
These answers are outdated or otherwise wordy and difficult.
If you've got Python 3.4+ or 2.7.9+, it will be installed by default on Windows.  Otherwise, in short:

Download the pip installer: 
https://bootstrap.pypa.io/get-pip.py
If paranoid, inspect file to confirm it isn't malicious
(must b64 decode).
Open a console in the download folder as Admin and run
get-pip.py.  Alternatively, right-click its icon in Explorer and choose the ""run as Admin..."".

The new binaries pip.exe (and the deprecated easy_install.exe) will be found in the ""%ProgramFiles%\PythonXX\Scripts"" folder (or similar), which is often not in your PATH variable.  I recommend adding it.
","
MD5 checksums of the files: get-pip.py=60a3d165e93999895e26b96681b65090  setuptools-1.3.2.tar.gz=441f2e58c0599d31597622a7b9eb605f
                
                    – Joris
Nov 16 '13 at 10:49



","
As of pip 1.5.1 (Jan 2014) ez_setup/setuptools/distribute isn't needed ahead of time. If needed get-pip will acquire the requirements as well as pip itself.
                
                    – matt wilkie
Feb 4 '14 at 20:08



","
Good overview of python packaging past and present as of Aug 2016: glyph.twistedmatrix.com/2016/08/python-packaging.html
                
                    – Dylan Hogg
Aug 14 '16 at 12:54
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Aug 16 '19,205
34,"
Python 3.4, which  was released in March 2014, comes with pip included:
http://docs.python.org/3.4/whatsnew/3.4.html
So, since the release of Python 3.4, the up-to-date way to install pip on Windows is to just install Python.
The recommended way to use it is to call it as a module, especially with multiple python distributions or versions installed, to guarantee packages go to the correct place:
python -m pip install --upgrade packageXYZ
https://docs.python.org/3/installing/#work-with-multiple-versions-of-python-installed-in-parallel
","
Note that it also applies to Python 2.7.9
                
                    – Roberto
Dec 8 '15 at 15:25
","
Python 2.x is legacy, Python 3.x is the present and future of the language, according to Python2orPython3
                
                    – matth
Dec 9 '15 at 9:18



","
Hmm I installed Python 3.4.4 and I could find pip3.exe following the path in this answer, but in cmd pip is still not recognized. Can anyone help?
                
                    – annena
Jan 20 '16 at 9:30
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Nov 8 '19,48
35,"
When I have to use Windows, I use ActivePython, which automatically adds everything to your PATH and includes a package manager called PyPM which provides binary package management making it faster and simpler to install packages.
pip and easy_install aren't exactly the same thing, so there are some things you can get through pip but not easy_install and vice versa.
My recommendation is that you get ActivePython Community Edition and don't worry about the huge hassle of getting everything set up for Python on Windows. Then, you can just use pypm.
In case you want to use pip you have to check the PyPM option in the ActiveState installer. After installation you only need to logoff and log on again, and pip will be available on the commandline, because it is contained in the ActiveState installer PyPM option and the paths have been set by the installer for you already. PyPM will also be available, but you do not have to use it.
","
It must be noted that ActivePython also includes pip and easy_install. PyPM is a binary package manger, while pip/easy_install are, essentially, source package managers. See code.activestate.com/help/faq/…
                
                    – Sridhar Ratnakumar
Feb 21 '11 at 18:08
","
@Rafe Kettlet - When I try to install pip in Activepython it gives this error
                
                    – Jitendra Vyas
Aug 6 '12 at 18:24
","
@Jitendra - ActivePython already installs pip for you, so there is no need to install it again afterwards.
                
                    – mit
May 31 '13 at 7:39
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,May 23 '17,41
36,"
The up-to-date way is to use Windows' package manager Chocolatey.
Once this is installed, all you have to do is open a command prompt and run the following the three commands below, which will install Python 2.7, easy_install and pip. It will automatically detect whether you're on x64 or x86 Windows.
cinst python
cinst easy.install
cinst pip

All of the other Python packages on the Chocolatey Gallery can be found here.
","
And if python is already installed? This caused me nightmares. With python already installed via other means and trying cinst pip just game me errors.
                
                    – DevPlayer
Apr 17 '13 at 8:20
","
Chocolatey doesn't seem very robust especially wrt. dependencies. cinst pip at the time of writing just assumes easy_install has been installed, which is not necessarily the case.
                
                    – fatuhoku
Oct 23 '13 at 10:48
","
I've edited the question, to make it work you'll need to have easy_install before you get pip, you can just do cinst easy.install
                
                    – Philipp Gayret
Jan 16 '14 at 12:23
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jan 16 '14,39
37,"
Update March 2015
Python 2.7.9 and later (on the Python 2 series), and Python 3.4 and later include pip by default, so you may have pip already.
If you don't, run this one line command on your prompt (which may require administrator access):
python -c ""exec('try: from urllib2 import urlopen \nexcept: from urllib.request import urlopen');f=urlopen('https://bootstrap.pypa.io/get-pip.py').read();exec(f)""

It will install pip. If Setuptools is not already installed, get-pip.py will install it for you too.
As mentioned in comments, the above command will download code from the Pip source code repository at GitHub, and dynamically run it at your environment. So be noticed that this is a shortcut of the steps download, inspect and run, all with a single command using Python itself. If you trust Pip, proceed without doubt.
Be sure that your Windows environment variable PATH includes Python's folders (for Python 2.7.x default install: C:\Python27 and C:\Python27\Scripts, for Python 3.3x: C:\Python33 and C:\Python33\Scripts, and so on).
","
This should work, but it is worth noting that this could be extremely dangerous if one doesn't have the expertise or bother to inspect the url-file before executing such a command.
                
                    – Gringo Suave
Mar 29 '13 at 21:48



","
I think the simplicity is worth the risk. We are talking about a hack at python-distribute.org? There is a similar approach with sublime package control.
                
                    – Fernando Macedo
Apr 1 '13 at 20:08
","
Yes, I have checked the distribute URL and it is ok (for now at least).  The problem is in the general case where the inexperienced run remote executables on recommendation from a forum.  It should come at least with a minimal warning.
                
                    – Gringo Suave
Apr 3 '13 at 7:46



",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,32
38,"
Installers
I've built Windows installers for both distribute and pip here (the goal being to use pip without having to either bootstrap with easy_install or save and run Python scripts):

distribute-0.6.27.win32.exe
pip-1.1.win32.exe

On Windows, simply download and install first distribute, then pip from the above links. The distribute link above does contain stub .exe installers, and these are currently 32-bit only. I haven't tested the effect on 64-bit Windows.
Building on Windows
The process to redo this for new versions is not difficult, and I've included it here for reference.
Building distribute
In order to get the stub .exe files, you need to have a Visual C++ compiler (it is apparently compilable with MinGW as well)
hg clone https://bitbucket.org/tarek/distribute
cd distribute
hg checkout 0.6.27
rem optionally, comment out tag_build and tag_svn_revision in setup.cfg
msvc-build-launcher.cmd
python setup.py bdist_win32
cd ..
echo build is in distribute\dist

Building pip
git clone https://github.com/pypa/pip.git
cd pip
git checkout 1.1
python setup.py bdist_win32
cd ..
echo build is in pip\dist

","
Ah, I missed that there's a launcher.c that needs manual compiling... adjusted and rebuilt distribute - that does mean that this is win32-only...
                
                    – David Fraser
Jul 3 '12 at 13:49
",null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jul 3 '12,26
39,"
The following works for Python 2.7. Save this script and launch it:  
https://raw.github.com/pypa/pip/master/contrib/get-pip.py  
Pip is installed, then add the path to your environment : 
C:\Python27\Scripts

Finally
pip install virtualenv

Also you need Microsoft Visual C++ 2008 Express to get the good compiler and avoid these kind of messages when installing packages:
error: Unable to find vcvarsall.bat

If you have a 64-bit version of Windows 7, you may read 64-bit Python installation issues on 64-bit Windows 7 to successfully install the Python executable package (issue with registry entries).
","
link not working. please update it
                
                    – swapnil gandhi
Nov 29 '18 at 5:36
",null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,21
40,"
To install pip globally on Python 2.x, easy_install appears to be the best solution as Adrián states.
However the installation instructions for pip recommend using virtualenv since every virtualenv has pip installed in it automatically.  This does not require root access or modify your system Python installation.
Installing virtualenv still requires easy_install though.
2018 update: 
Python 3.3+ now includes the venv module for easily creating virtual environments like so:
python3 -m venv /path/to/new/virtual/environment
See documentation for different platform methods of activating the environment after creation, but typically one of:
$ source <venv>/bin/activate 

C:\> <venv>\Scripts\activate.bat

",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jun 5 '18,18
41,"
For latest Python Download - I have python 3.6 on windows. You don't have to wonder everything you need is there , take  a breath i will show you how to do it.

make sure where you install python for me its was in the following directory



Now , lets add python and pip into environment variable path settings
  if you are on windows, so that typing pip or python anywhere call
  python aor pip from where they are installed.

So, PIP is found under the folder in above screen ""SCRIPTS""
Lets add Python and PIP in environment variable path. 

Almost Done , Let test with CMD to install goole package using pip.
pip install google


BYE BYE! 
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jun 8 '17,17
42,"
To use pip, it is not mandatory that you need to install pip in the system directly. You can use it through virtualenv. What you can do is follow these steps:

Download virtualenv tar.gz file from https://pypi.python.org/pypi/virtualenv
Unzip it with 7zip or some other tool

We normally need to install Python packages for one particular project. So, now create a project folder, let’s say myproject.

Copy the virtualenv.py file from the decompressed folder of virtualenv, and paste inside the myproject folder

Now create a virtual environment, let’s say myvirtualenv as follows, inside the myproject folder:
python virtualenv.py myvirtualenv

It will show you:
New python executable in myvirtualenv\Scripts\python.exe
Installing setuptools....................................done.
Installing pip.........................done.

Now your virtual environment, myvirtualenv, is created inside your project folder. You might notice, pip is now installed inside you virtual environment. All you need to do is activate the virtual environment with the following command.
myvirtualenv\Scripts\activate

You will see the following at the command prompt:
(myvirtualenv) PATH\TO\YOUR\PROJECT\FOLDER>pip install package_name

Now you can start using pip, but make sure you have activated the virtualenv looking at the left of your prompt.
This is one of the easiest way to install pip i.e. inside virtual environment, but you need to have virtualenv.py file with you.
For more ways to install pip/virtualenv/virtualenvwrapper, you can refer to thegauraw.tumblr.com.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,16
43,"
I just wanted to add one more solution for those having issues installing setuptools from Windows 64-bit. The issue is discussed in this bug on python.org and is still unresolved as of the date of this comment. A simple workaround is mentioned and it works flawlessly. One registry change did the trick for me.
Link: http://bugs.python.org/issue6792#
Solution that worked for me...:
Add this registry setting for 2.6+ versions of Python:
 [HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Python\PythonCore\2.6\InstallPath]
 @=""C:\\Python26\\""

This is most likely the registry setting you will already have for Python 2.6+:
 [HKEY_LOCAL_MACHINE\SOFTWARE\Python\PythonCore\2.6\InstallPath]
 @=""C:\\Python26\\""

Clearly, you will need to replace the 2.6 version with whatever version of Python you are running.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,15
44,"
Updated at 2016 : Pip should already be included in Python 2.7.9+ or 3.4+, but if for whatever reason it is not there, you can use the following one-liner.

Download https://bootstrap.pypa.io/get-pip.py and run it with Administrator permission python get-pip.py (If you are on Linux, use sudo python get-pip.py)

PS:

This should already be satisfied in most cases but, if necessary, be sure that your environment variable PATH includes Python's folders (for example, Python 2.7.x on Windows default install: C:\Python27 and C:\Python27\Scripts, for Python 3.3x: C:\Python33 and C:\Python33\Scripts, etc)
I encounter same problem and then found such perhaps easiest way (one liner!) mentioned on official website here: http://www.pip-installer.org/en/latest/installing.html

Can't believe there are so many lengthy (perhaps outdated?) answers out there. Feeling thankful to them but, please up-vote this short answer to help more new comers!
","
I believe you'll still need distribute or setuptools.
                
                    – Gringo Suave
Jan 18 '13 at 20:58
","
On my system, I also needed to add C:\Python33\Scripts to the PATH.
                
                    – joshuanapoli
Mar 6 '13 at 17:52
","
You forgot to mention you don't have firewall issues
                
                    – flywire
May 28 '18 at 7:09
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jan 16 '17,15
45,"
The best way I found so far, is just two lines of code:
curl http://python-distribute.org/distribute_setup.py | python
curl https://raw.github.com/pypa/pip/master/contrib/get-pip.py | python

It was tested on Windows 8 with PowerShell, Cmd, and Git Bash (MinGW).
And you probably want to add the path to your environment. It's somewhere like C:\Python33\Scripts.
","
Curl isn't shipped with windows.
                
                    – Gringo Suave
Mar 29 '13 at 21:37
","
@GringoSuave Curl is so commonly used, everyone should have it. If that's not preferred, these two scripts can be just downloaded with any browser directly.
                
                    – h--n
Mar 30 '13 at 17:24
","
Combine this with @Fernando's answer, stackoverflow.com/a/15294806/14420, for how to do the same without curl.
                
                    – matt wilkie
Apr 16 '13 at 5:04
",https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,14
46,"
Here how to install pip with easy way.

copy and paste these content in a file as get-pip.py
copy and paste get-pip.py into python folder.C:\Python27
Double click to get-pip.py file.it will install pip to your computer.
Now you have to add C:\Python27\Scripts path to your enviroment variable.Because it includes pip.exe file.
Now you are ready to use pip. Open cmd and type as pip install package_name

",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Mar 29 '16,13
47,"
PythonXY comes with pip included, among others.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jul 16 '13,12
48,"
I use the cross-platform Anaconda package manager from continuum.io on Windows and it is reliable.  It has virtual environment management and a fully featured shell with common utilities (e.g. conda, pip).
> conda install <package>               # access distributed binaries

> pip install <package>                 # access PyPI packages 

conda also comes with binaries for libraries with non-Python dependencies, e.g. pandas, numpy, etc.  This proves useful particularly on Windows as it can be  hard to correctly compile C dependencies.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jan 18 '17,12
49,"
I had some issues installing in different ways when I followed instructions here. I think it's very tricky to install in every Windows environment in the same way. In my case I need Python 2.6, 2.7 and 3.3 in the same machine for different purposes so that's why I think there're more problems.
But the following instructions worked perfectly for me, so might be depending on your environment you should try this one:
http://docs.python-guide.org/en/latest/starting/install/win/
Also, due to the different environments I found incredible useful to use Virtual Environments, I had websites that use different libraries and it's much better to encapsulate them into a single folder, check out the instructions, briefly if PIP is installed you just install VirtualEnv:
pip install virtualenv

Into the folder you have all your files run
virtualenv venv

And seconds later you have a virtual environment with everything in venv folder, to activate it run venv/Scripts/activate.bat (deactivate the environment is easy, use deactivate.bat). Every library you install will end up in venv\Lib\site-packages and it's easy to move your whole environment somewhere.
The only downside I found is some code editors can't recognize this kind of environments, and you will see warnings in your code because imported libraries are not found. Of course there're tricky ways to do it but it would be nice editors keep in mind Virtual Environments are very normal nowadays.
Hope it helps.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jan 6 '14,10
50,"

Download script: https://raw.github.com/pypa/pip/master/contrib/get-pip.py
Save it on drive somewhere like C:\pip-script\get-pip.py
Navigate to that path from command prompt and run "" python get-pip.py ""

Guide link: http://www.pip-installer.org/en/latest/installing.html#install-pip
Note: Make sure scripts path like this (C:\Python27\Scripts) is added int %PATH% environment variable as well.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Sep 24 '14,8
51,"
It's very simple:
Step 1: wget https://bitbucket.org/pypa/setuptools/raw/bootstrap/ez_setup.py
Step 2: wget https://raw.github.com/pypa/pip/master/contrib/get-pip.py
Step 2: python ez_setup.py
Step 3: python get-pip.py

(Make sure your Python and Python script directory (for example, C:\Python27 and C:\Python27\Scripts) are in the PATH.)
","
I don't see scripts folder on my machine I am using python 3.3
                
                    – Dejell
Dec 15 '13 at 10:19
",null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,5
52,"
Working as of Feb 04 2014 :):
If you have tried installing pip through the Windows installer file from http://www.lfd.uci.edu/~gohlke/pythonlibs/#pip as suggested by @Colonel Panic, you might have installed the pip package manager successfully, but you might be unable to install any packages with pip. You might also have got the same SSL error as I got when I tried to install Beautiful Soup 4 if you look in the pip.log file:
Downloading/unpacking beautifulsoup4
  Getting page https://pypi.python.org/simple/beautifulsoup4/
  Could not fetch URL https://pypi.python.org/simple/beautifulsoup4/: **connection error: [Errno 1] _ssl.c:504: error:14090086:SSL routines:SSL3_GET_SERVER_CERTIFICATE:certificate verify failed**
  Will skip URL https://pypi.python.org/simple/beautifulsoup4/ when looking for download links for beautifulsoup4

The problem is an issue with an old version of OpenSSL being incompatible with pip 1.3.1 and above versions. The easy workaround for now, is to install pip 1.2.1, which does not require SSL:
Installing Pip on Windows:

Download pip 1.2.1 from https://pypi.python.org/packages/source/p/pip/pip-1.2.1.tar.gz
Extract the pip-1.2.1.tar.gz file
Change directory to the extracted folder: cd <path to extracted folder>/pip-1.2.1
Run python setup.py install
Now make sure C:\Python27\Scripts is in PATH because pip is installed in the C:\Python27\Scripts directory unlike C:\Python27\Lib\site-packages where Python packages are normally installed

Now try to install any package using pip.
For example, to install the requests package using pip, run this from cmd:
pip install requests

Whola! requests will be successfully installed and you will get a success message.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,5
53,"
pip is already installed if you're using Python 2 >=2.7.9 or Python 3 >=3.4 binaries downloaded from python.org, but you'll need to upgrade pip.
On Windows upgrade can be done easily 
Go to Python command line and run below Python command
python -m pip install -U pip
Installing with get-pip.py
Download get-pip.py in the same folder or any other folder of your choice. I am assuming you will download it in the same folder from you have python.exe file and run this command 
python get-pip.py

Pip's installation guide is pretty clean and simple.
Using this you should be able to get started with Pip in under two minutes.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Aug 9 '16,5
54,"
if you even have other problems with pip version you can try this 
pip install --trusted-host pypi.python.org --upgrade pip

","
How can they use pip if its not installed??
                
                    – john ktejik
Aug 21 '19 at 23:09



",null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jun 14 '17,4
55,"
Installing Pip for Python2 and Python3

Download get-pip.py to a folder on your computer.
Open a command prompt and navigate to the folder containing get-pip.py.
Run the following command:python get-pip.py, python3 get-pip.py or  python3.6 get-pip.py, depending on which version of python you want to install pip
Pip should be now installed!


Old answer (still valid)
Have you tried ?
python -m ensurepip

it's probably the easiest to install pip on any system.
","
It may not be available for your OS or python version. I  updated the answer, give it a try.
                
                    – Pedro Lobito
Apr 25 '19 at 12:38
",null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Apr 25 '19,3
56,"
Simple CMD way
Use CURL to download get-pip.py
curl --http1.1 https://bootstrap.pypa.io/get-pip.py --output get-pip.py

Execute downloaded python file
python get-pip.py

Then add C:\Python37\Scripts path to your environment variable. Assumes that there is a Python37 folder in your C drive, that folder name may varied according to the installed python version
Now you can install python packages by running
pip install awesome_package_name

",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Sep 13 '19,3
57,"
Just download setuptools-15.2.zip (md5), from here https://pypi.python.org/pypi/setuptools#windows-simplified , and run ez_setup.py.
",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,May 5 '15,2
58,"
Alternatively, you can get pip-Win which is an all-in-one installer for pip and virtualenv on Windows and its GUI.

Switch from one Python interpreter (i.e. version) to another (including py and pypy)
See all installed packages, and whether they are up-to-date
Install or upgrade a package, or upgrade pip itself
Create and delete virtual environments, and switch between them
Run the IDLE or another Python script, with the selected interpreter

",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Feb 6 '16,2
59,"
Now, it is bundled with Python. You don't need to install it.
pip -V

This is how you can check whether pip is installed or not.
In rare case, if it is not installed, download get-pip.py file and run it with python as
python get-pip.py

",null,null,null,https://stackoverflow.com//questions/4750806/how-to-install-pip-on-windows,How to install pip on Windows?,Jan 29 '18,2
60,"
I'm not sure if it's exactly your problem, but in my case, I wasn't able to upgrade Django to 1.2.4 - I was always finishing with 1.2.3 version, so I uninstalled Django with:
<virtualenv>/bin/pip uninstall Django

Then I removed <virtualenv>/build/Django directory and finally I installed the proper version with:
<virtualenv>/bin/pip install Django

Hope this will help.
","
This is not the best practice. Use pip install Django -U or pip install Django --upgrade as described in @JoeyG 's answer.
                
                    – Ahmad
Jul 26 '18 at 3:05
","
@Ahmad agree. There should be a smooth update process in pip and virtual env.
                
                    – Parth Joshi
Jul 16 '19 at 17:45
",null,https://stackoverflow.com//questions/4536103/how-can-i-upgrade-specific-packages-using-pip-and-a-requirements-file,How can I upgrade specific packages using pip and a requirements file?,Apr 10 '14,58
